Date,Close
09-01-12,60.247143
10-01-12,60.462856
11-01-12,60.364285
12-01-12,60.19857
13-01-12,59.972858
17-01-12,60.671429
18-01-12,61.30143
19-01-12,61.107143
20-01-12,60.042858
23-01-12,61.058571
24-01-12,60.058571
25-01-12,63.808571
26-01-12,63.51857
27-01-12,63.897144
30-01-12,64.715714
31-01-12,65.211426
01-02-12,65.169998
02-02-12,65.017143
03-02-12,65.668571
06-02-12,66.281425
07-02-12,66.975716
08-02-12,68.097145
09-02-12,70.452858
10-02-12,70.488571
13-02-12,71.800003
14-02-12,72.779999
15-02-12,71.095711
16-02-12,71.744286
17-02-12,71.73143
21-02-12,73.550003
22-02-12,73.291428
23-02-12,73.769997
24-02-12,74.629997
27-02-12,75.108574
28-02-12,76.487144
29-02-12,77.491432
01-03-12,77.781425
02-03-12,77.882858
05-03-12,76.165718
06-03-12,75.751427
07-03-12,75.812859
08-03-12,77.427139
09-03-12,77.881432
12-03-12,78.85714
13-03-12,81.157143
14-03-12,84.225716
15-03-12,83.651428
16-03-12,83.652855
19-03-12,85.871429
20-03-12,86.565712
21-03-12,86.071426
22-03-12,85.620003
23-03-12,85.150002
26-03-12,86.711426
27-03-12,87.78286
28-03-12,88.23143
29-03-12,87.122856
30-03-12,85.650002
02-04-12,88.375717
03-04-12,89.902855
04-04-12,89.187141
05-04-12,90.525711
09-04-12,90.889999
10-04-12,89.777145
11-04-12,89.457146
12-04-12,88.96714
13-04-12,86.461426
16-04-12,82.875717
17-04-12,87.099998
18-04-12,86.905716
19-04-12,83.919998
20-04-12,81.854286
23-04-12,81.671425
24-04-12,80.040001
25-04-12,87.14286
26-04-12,86.814285
27-04-12,86.14286
30-04-12,83.425713
01-05-12,83.16143
02-05-12,83.711426
03-05-12,83.117142
04-05-12,80.75
07-05-12,81.354286
08-05-12,81.168571
09-05-12,81.311432
10-05-12,81.502853
11-05-12,80.958572
14-05-12,79.745712
15-05-12,79.024284
16-05-12,78.011429
17-05-12,75.73143
18-05-12,75.76857
21-05-12,80.182854
22-05-12,79.567146
23-05-12,81.508568
24-05-12,80.760002
25-05-12,80.327141
29-05-12,81.752853
30-05-12,82.738571
31-05-12,82.53286
01-06-12,80.141426
04-06-12,80.612854
05-06-12,80.404289
06-06-12,81.637146
07-06-12,81.674286
08-06-12,82.902855
11-06-12,81.595711
12-06-12,82.308571
13-06-12,81.737144
14-06-12,81.647141
15-06-12,82.01857
18-06-12,83.682854
19-06-12,83.915718
20-06-12,83.677139
21-06-12,82.524284
22-06-12,83.157143
25-06-12,81.538574
26-06-12,81.718575
27-06-12,82.071426
28-06-12,81.292854
29-06-12,83.428574
02-07-12,84.645714
03-07-12,85.629997
05-07-12,87.134285
06-07-12,86.554283
09-07-12,87.69857
10-07-12,86.887146
11-07-12,86.347145
12-07-12,85.557144
13-07-12,86.424286
16-07-12,86.701431
17-07-12,86.705711
18-07-12,86.608574
19-07-12,87.760002
20-07-12,86.328575
23-07-12,86.261429
24-07-12,85.845711
25-07-12,82.138573
26-07-12,82.125717
27-07-12,83.594284
30-07-12,85.004288
31-07-12,87.251427
01-08-12,86.687141
02-08-12,86.827141
03-08-12,87.957146
06-08-12,88.935715
07-08-12,88.701431
08-08-12,88.55143
09-08-12,88.675713
10-08-12,88.814285
13-08-12,90
14-08-12,90.241432
15-08-12,90.118568
16-08-12,90.905716
17-08-12,92.587143
20-08-12,95.021431
21-08-12,93.722855
22-08-12,95.552856
23-08-12,94.66143
24-08-12,94.745712
27-08-12,96.525711
28-08-12,96.400002
29-08-12,96.209999
30-08-12,94.83857
31-08-12,95.034286
04-09-12,96.424286
05-09-12,95.747147
06-09-12,96.610001
07-09-12,97.205711
10-09-12,94.677139
11-09-12,94.370003
12-09-12,95.684288
13-09-12,97.568573
14-09-12,98.754288
17-09-12,99.968575
18-09-12,100.272858
19-09-12,100.300003
20-09-12,99.814285
21-09-12,100.012856
24-09-12,98.684288
25-09-12,96.220001
26-09-12,95.025711
27-09-12,97.331429
28-09-12,95.300003
01-10-12,94.19857
02-10-12,94.472855
03-10-12,95.921425
04-10-12,95.257141
05-10-12,93.227142
08-10-12,91.167145
09-10-12,90.835716
10-10-12,91.558571
11-10-12,89.728569
12-10-12,89.958572
15-10-12,90.68
16-10-12,92.827141
17-10-12,92.087143
18-10-12,90.377144
19-10-12,87.120003
22-10-12,90.575714
23-10-12,87.622856
24-10-12,88.118568
25-10-12,87.077141
26-10-12,86.285713
31-10-12,85.045715
01-11-12,85.220001
02-11-12,82.400002
05-11-12,83.517143
06-11-12,83.264282
07-11-12,79.714287
08-11-12,76.821426
09-11-12,78.151428
12-11-12,77.547142
13-11-12,77.557144
14-11-12,76.697144
15-11-12,75.08857
16-11-12,75.382858
19-11-12,80.818573
20-11-12,80.129997
21-11-12,80.242859
23-11-12,81.64286
26-11-12,84.218575
27-11-12,83.540001
28-11-12,83.277145
29-11-12,84.194283
30-11-12,83.611427
03-12-12,83.741432
04-12-12,82.264282
05-12-12,76.970001
06-12-12,78.177139
07-12-12,76.178574
10-12-12,75.688568
11-12-12,77.341431
12-12-12,77
13-12-12,75.669998
14-12-12,72.827141
17-12-12,74.118568
18-12-12,76.271431
19-12-12,75.187141
20-12-12,74.53286
21-12-12,74.190002
24-12-12,74.309998
26-12-12,73.285713
27-12-12,73.580002
28-12-12,72.798569
31-12-12,76.024284
02-01-13,78.432854
03-01-13,77.442856
04-01-13,75.285713
07-01-13,74.842857
08-01-13,75.044289
09-01-13,73.871429
10-01-13,74.78714
11-01-13,74.328575
14-01-13,71.678574
15-01-13,69.417145
16-01-13,72.298569
17-01-13,71.811432
18-01-13,71.428574
22-01-13,72.110001
23-01-13,73.43
24-01-13,64.35714
25-01-13,62.84
28-01-13,64.261429
29-01-13,65.46714
30-01-13,65.261429
31-01-13,65.07
01-02-13,64.802856
04-02-13,63.188572
05-02-13,65.405716
06-02-13,65.335716
